id	filename	md5	size	state
db6f39e9-6134-47fe-92c7-35d71fd19e68	db6f39e9-6134-47fe-92c7-35d71fd19e68/414b9abf-8e4b-4d3a-b97d-34fb384b43d7.rna_seq.augmented_star_gene_counts.tsv	5cc101b04c9803485631eb7baf0dc514	4199398	validated
283e4191-59da-4caf-99a3-385a3ea74607	283e4191-59da-4caf-99a3-385a3ea74607/f5092ee7-2656-4aa5-b0c3-884aadb9dbf8.rna_seq.augmented_star_gene_counts.tsv	ade3952f3394d5e3cb0576611e7cbd6f	4221365	validated
f9903ebc-4434-40d9-ad03-20ca825a666e	f9903ebc-4434-40d9-ad03-20ca825a666e/c54c553f-7024-4425-b489-dd959bee3e62.rna_seq.augmented_star_gene_counts.tsv	76c76215ae0cc04bdbc17e322eb4d956	4194557	validated
65ea5c74-595e-468f-8dc5-134a8c3ae543	65ea5c74-595e-468f-8dc5-134a8c3ae543/97563695-6be6-442a-8a91-18a203eda794.rna_seq.augmented_star_gene_counts.tsv	b6c5e7002d30162ce338a593b52d0564	4218538	validated
6e812349-35e7-44e7-ac7c-a4bc19d81fd0	6e812349-35e7-44e7-ac7c-a4bc19d81fd0/14fc153e-3cb3-4d3f-8259-b73a436f3d0b.rna_seq.augmented_star_gene_counts.tsv	6eef53bb76ba2ab3fc3842fb29cfae88	4201688	validated
aeab8782-8817-494f-8566-3fde7d8ed88d	aeab8782-8817-494f-8566-3fde7d8ed88d/19dc74d9-a307-4991-8723-a570de15858d.rna_seq.augmented_star_gene_counts.tsv	e9c6f3a3341b63f6267eee9dad29b0ce	4250056	validated
70aed113-9cee-4797-bd82-476a84b4b7e4	70aed113-9cee-4797-bd82-476a84b4b7e4/6e2e99b7-d686-4a88-867c-edbcc22acaed.rna_seq.augmented_star_gene_counts.tsv	daf404d4524260edff5a933524a5011f	4214864	validated
51c45ad0-3a73-4561-9a2c-7a4c00de52c5	51c45ad0-3a73-4561-9a2c-7a4c00de52c5/d47d25be-4859-450a-a110-0e4bc7e2896b.rna_seq.augmented_star_gene_counts.tsv	efd62c3dd85e193dea58563e03c72c1b	4216048	validated
7214d789-2919-4fa4-b8fc-660c5c160202	7214d789-2919-4fa4-b8fc-660c5c160202/03ca605c-a693-44da-86b9-4f48c2649839.rna_seq.augmented_star_gene_counts.tsv	93ac65396010e7b002f940626f49307b	4206961	validated
e1f2a612-49d9-4935-9791-cfd9abbf7f92	e1f2a612-49d9-4935-9791-cfd9abbf7f92/0a20e4cc-47b1-4b2b-8dfa-43a8fa62d27d.rna_seq.augmented_star_gene_counts.tsv	b192b4e8afde19b894b3ef3c0516c252	4213704	validated
6983f3b9-c9ba-433a-8f13-6429122ca395	6983f3b9-c9ba-433a-8f13-6429122ca395/6671e092-52aa-4fff-b052-21bfe69a1658.rna_seq.augmented_star_gene_counts.tsv	03a2fc14a92425733810d7192c521057	4225782	validated
95b4b176-edc6-4c7a-90a3-f3a957e7d77a	95b4b176-edc6-4c7a-90a3-f3a957e7d77a/7519dae8-dfee-413d-995d-d005fdddb4b1.rna_seq.augmented_star_gene_counts.tsv	890d69402f5bc13f4678a74c22858755	4224934	validated
f7297699-af69-426e-9087-c3112a92d85c	f7297699-af69-426e-9087-c3112a92d85c/cc32ff5b-0c18-41b9-b1ca-e8d1eb3d7b84.rna_seq.augmented_star_gene_counts.tsv	7a8c404c798deeaee38d92be4dbeb850	4200963	validated
fa515a26-a43e-4b6e-8120-07a9c3b6352e	fa515a26-a43e-4b6e-8120-07a9c3b6352e/dfc8986d-1ec3-4c77-926e-d71cc217ffcd.rna_seq.augmented_star_gene_counts.tsv	d8803a3ebcc33181877e1583bbb25829	4224408	validated
ebd9a9d0-c711-42e3-a382-9ef1fb5b7184	ebd9a9d0-c711-42e3-a382-9ef1fb5b7184/6d45b3c6-aff6-4849-be65-6bdd64dc2002.rna_seq.augmented_star_gene_counts.tsv	594c67608fe256a805534743194fe8f2	4225506	validated
95158561-ffa4-4cef-bc12-9ef0368c1f10	95158561-ffa4-4cef-bc12-9ef0368c1f10/9f1e5b80-35f2-4e10-bd73-b031bb2401bd.rna_seq.augmented_star_gene_counts.tsv	da419e3d8beb5cc123315e91548fe9b3	4234420	validated
bc3b8a18-5d9b-4e2d-ab82-05fb36991a2e	bc3b8a18-5d9b-4e2d-ab82-05fb36991a2e/3bfa7140-ed14-41bf-aa12-5eac3535885a.rna_seq.augmented_star_gene_counts.tsv	0257425087cf0b8d698bfc800f44e8ab	4214363	validated
6f5328d3-7a56-4da1-b2b3-fae1bc627626	6f5328d3-7a56-4da1-b2b3-fae1bc627626/b952371d-4fcd-4df6-8aca-af126cb09e3e.rna_seq.augmented_star_gene_counts.tsv	40345010f4df6d89add994b34e8562ef	4221958	validated
ba134c1a-820f-4507-973e-7000a815ebc0	ba134c1a-820f-4507-973e-7000a815ebc0/8d6ae71d-5622-4553-b992-c0c59c703e59.rna_seq.augmented_star_gene_counts.tsv	36296c98597cddb7e580b87a45e48c94	4197264	validated
a9dbf9fe-fef3-4cd7-9bb2-dcc26628566f	a9dbf9fe-fef3-4cd7-9bb2-dcc26628566f/62b64fce-b9de-4151-bf56-d2ee50153e25.rna_seq.augmented_star_gene_counts.tsv	250df895553477a79d0fd1846f87df3b	4203004	validated
3f1f1922-1263-4e5d-819b-2c89e8b5548d	3f1f1922-1263-4e5d-819b-2c89e8b5548d/427c0560-88ff-45a9-98a7-9d7cf3354138.rna_seq.augmented_star_gene_counts.tsv	3d6ad13759d8190f2aea40dd377ca49e	4200888	validated
e9d20052-96ee-4b64-b61b-cbdcbd341446	e9d20052-96ee-4b64-b61b-cbdcbd341446/571cd609-a911-4617-95ae-f55ec2805067.rna_seq.augmented_star_gene_counts.tsv	34431ad83a7f91644706270ea33fb3fd	4202926	validated
